Table #,V2 Table Type,Name,Description,Concept Domain,Steward WorkGroup,V2 Binding Code,Field Where Used,V2 Codes Table Comment.,Code System Problem?,Table OID,V2 Code System OID,V2 Code System URI,V2 Value Set OID,V2 Value Set URI,V2 Code System Version,version-tbl-introduced,version-csvs-introduced,V2 VS CLD Type
0118,User,Major Diagnostic Category,Table of codes specifying the major diagnostic category.  No suggested values.,MajorDiagnosticCategory,fm,N/A (0),DMI-2,,,2.16.840.1.113883.12.118,,,,,10,2.1,2.9,
0119,HL7,Order Control Codes,"HL7-defined table of codes which are used to determine the function of the order segment.  Depending on the message, the action specified by one of these control codes may refer to an order or an individual service.",OrderControlCodes,,Universal (3),ORC-1,,,2.16.840.1.113883.12.119,2.16.840.1.113883.18.48,http://terminology.hl7.org/CodeSystem/v2-0119,2.16.840.1.113883.21.52,http://terminology.hl7.org/ValueSet/v2-0119,10,2.1,2.9,1
0121,HL7,Response Flag,HL7-defined table of codes allowing the placer (sending) application to determine the amount of information to be returned from the filler.,ResponseFlag,,Universal (3),ORC-6,,,2.16.840.1.113883.12.121,2.16.840.1.113883.18.49,http://terminology.hl7.org/CodeSystem/v2-0121,2.16.840.1.113883.21.53,http://terminology.hl7.org/ValueSet/v2-0121,10,2.1,2.9,1
0122,HL7,Charge Type,HL7-defined table of codes which specify someone or something other than the patient to be billed for a service.,ChargeType,oo,Universal (3),BLG-2,,,2.16.840.1.113883.12.122,2.16.840.1.113883.18.50,http://terminology.hl7.org/CodeSystem/v2-0122,2.16.840.1.113883.21.54,http://terminology.hl7.org/ValueSet/v2-0122,10,2.1,2.9,1
0123,HL7,Result Status,HL7-defined table of codes which specify a status of results for an order.,ResultStatus,oo,Universal (3),OBR-25,,,2.16.840.1.113883.12.123,2.16.840.1.113883.18.51,http://terminology.hl7.org/CodeSystem/v2-0123,2.16.840.1.113883.21.55,http://terminology.hl7.org/ValueSet/v2-0123,10,2.1,2.9,1
0124,HL7,Transportation Mode,"HL7-defined table of codes which specify how (or whether) to transport a patient, when applicable, for an ordered service.",TransportationMode,oo,Universal (3),OBR-30,,,2.16.840.1.113883.12.124,2.16.840.1.113883.18.52,http://terminology.hl7.org/CodeSystem/v2-0124,2.16.840.1.113883.21.56,http://terminology.hl7.org/ValueSet/v2-0124,10,2.1,2.9,1
0125,HL7,Value Type,HL7-defined table of codes specifying the format of the observation value in the Observation Result (OBX).,ValueType,oo,Universal (3),"OBX-2, OM1-3, OM3-7 and OMC-9",,,2.16.840.1.113883.12.125,2.16.840.1.113883.18.280,http://terminology.hl7.org/CodeSystem/v2-0440,2.16.840.1.113883.21.57,http://terminology.hl7.org/ValueSet/v2-0125,10,2.1,2.9,1
0126,HL7,Quantity Limited Request,"HL7-defined table of codes which specify the maximum length of a query response that can be accepted by a requesting system, and are expressed as units of mesaure of query response objects.",QuantityLimitedRequest,inm,Universal (3),RCP.2,,,2.16.840.1.113883.12.126,2.16.840.1.113883.18.53,http://terminology.hl7.org/CodeSystem/v2-0126,2.16.840.1.113883.21.64,http://terminology.hl7.org/ValueSet/v2-0126,10,2.1,2.9,1
0127,User,Allergen Type,"Table of codes speciying a classification of general allergy categories (drug, food, pollen, etc.).",AllergenType,pa,Example (1),AL1-2,,,2.16.840.1.113883.12.127,2.16.840.1.113883.18.54,http://terminology.hl7.org/CodeSystem/v2-0127,2.16.840.1.113883.21.65,http://terminology.hl7.org/ValueSet/v2-0127,10,2.2,2.9,1
0128,User,Allergy Severity,Table of codes which specify the general severity of an allergy.,AllergySeverity,pa,Example (1),AL1-4,,,2.16.840.1.113883.12.128,2.16.840.1.113883.18.55,http://terminology.hl7.org/CodeSystem/v2-0128,2.16.840.1.113883.21.66,http://terminology.hl7.org/ValueSet/v2-0128,10,2.2,2.9,1
0129,User,Accommodation Code,"Table of codes specifying the fiancial accommodation type of the bed or room which implies the rate to be used when occupied by a patient under specific medical conditions, which determines how it is billed.  No suggested values.",AccommodationCode,pa,N/A (0),"PV2-2, LCC-3",,,2.16.840.1.113883.12.129,,,,,10,2.2,2.9,
0130,User,Visit User Code,"Table of codes which specify categories of a patient's visit with respect to an individual institution's needs, and is expected to be different on a site-specific basis.",VisitUserCode,pa,Example (1),PV2-7,,,2.16.840.1.113883.12.130,2.16.840.1.113883.18.56,http://terminology.hl7.org/CodeSystem/v2-0130,2.16.840.1.113883.21.67,http://terminology.hl7.org/ValueSet/v2-0130,10,2.2,2.9,1
0131,User,Contact Role,"Table of codes which specify a relationship role that the next of kin/associated parties plays with regard to a patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that issued a referral.",ContactRole,pa,Example (1),"NK1-7, CTD-1",,,2.16.840.1.113883.12.131,2.16.840.1.113883.18.58,http://terminology.hl7.org/CodeSystem/v2-0131,2.16.840.1.113883.21.69,http://terminology.hl7.org/ValueSet/v2-0131,10,2.2,2.9,1
0132,User,Transaction Code,"Table of coded codes that are used by an institution for the purpose of uniquely identifying a transaction based on the Transaction Type.  For example, procedure, supply item, or test for charges; or to identify the payment medium for payments.  No suggested values.",TransactionCode,fm,N/A (0),"FT1-7, ITM-12",,,2.16.840.1.113883.12.132,,,,,10,2.2,2.9,
0133,User,Procedure Practitioner Identifier Code Type,"HL7-defined table of concepts which specify the different types of practitioners associated with this procedure.   This set of codes is known to be incomplete.  Note that as of v2.6, this table and the field(s) it was used in was replaced by table 443 used in the ROL segment.",,,Example (1),,,,2.16.840.1.113883.12.133,2.16.840.1.113883.18.59,http://terminology.hl7.org/CodeSystem/v2-0133,2.16.840.1.113883.21.70,http://terminology.hl7.org/ValueSet/v2-0133,10,2.2,2.9,1
0135,User,Assignment of Benefits,"Table of codes which indicate whether an insured person agreed to assign the insurance benefits to a healthcare provider.  If so, the insurance will pay the provider directly.",AssignmentOfBenefits,fm,Representative (2),IN1-20,,,2.16.840.1.113883.12.135,2.16.840.1.113883.18.60,http://terminology.hl7.org/CodeSystem/v2-0135,2.16.840.1.113883.21.71,http://terminology.hl7.org/ValueSet/v2-0135,10,2.2,2.9,1
0136,HL7,Yes/no Indicator,HL7-defined table of codes specifying either Yes or No used in fields containing binary answers generally user-specified. The actual interpretation of Yes/No is context sensitive. Individual chapters will further refine the meaning of Yes/No in their specific context.,Yes/noIndicator,inm,Universal (3),numerous,,,2.16.840.1.113883.12.136,2.16.840.1.113883.18.347,http://terminology.hl7.org/CodeSystem/v2-0532,2.16.840.1.113883.21.72,http://terminology.hl7.org/ValueSet/v2-0136,10,2.2,2.9,2
0137,User,Mail Claim Party,Table of codes which specify a party to which a claim should be mailed when claims are sent by mail.,MailClaimParty,fm,Example (1),IN2-5,,,2.16.840.1.113883.12.137,2.16.840.1.113883.18.61,http://terminology.hl7.org/CodeSystem/v2-0137,2.16.840.1.113883.21.73,http://terminology.hl7.org/ValueSet/v2-0137,10,2.2,2.9,1
0139,User,Employer Information Data,Table of codes specifying the required employer information data for UB82 form locator 71.  No suggested values.,EmployerInformationData,fm,N/A (0),"IN1-50, IN2-4",,,2.16.840.1.113883.12.139,,,,,10,2.2,2.9,
0140,User,Military Service,Table of codes which specify the military branch.  This field is defined by CMS or other regulatory agencies.,MilitaryService,pa,Example (1),PD1-19,,,2.16.840.1.113883.12.140,2.16.840.1.113883.18.62,http://terminology.hl7.org/CodeSystem/v2-0140,2.16.840.1.113883.21.74,http://terminology.hl7.org/ValueSet/v2-0140,10,2.2,2.9,1
0141,User,Military Rank/Grade,"Table of codes which specify the military rank/grade of the patient.
Australia: https://en.wikipedia.org/wiki/Australian_Defence_Force_ranks
Canada: http://www.forces.gc.ca/en/honours-history-badges-insignia/rank.page
United States: published in the Defense Travel Administrator's Manual, Appendix M: Military Rank/Civilian Pay Grade Abbreviations and Service Agency Names, http://www.defensetravel.dod.mil/Docs/Training/DTA_App_M.pdf",MilitaryRank/grade,pa,Example (1),PD1-20,,UTG Missing CodeSystem,2.16.840.1.113883.12.141,2.16.840.1.113883.18.63,http://terminology.hl7.org/CodeSystem/v2-0141,2.16.840.1.113883.21.75,http://terminology.hl7.org/ValueSet/v2-0141,10,2.2,2.9,1
0142,User,Military Status,Table of codes which specify the military status of the patient.  This field is defined by CMS or other regulatory agencies.,MilitaryStatus,pa,Example (1),PD1-21,,,2.16.840.1.113883.12.142,2.16.840.1.113883.18.64,http://terminology.hl7.org/CodeSystem/v2-0142,2.16.840.1.113883.21.76,http://terminology.hl7.org/ValueSet/v2-0142,10,2.2,2.9,1
0143,User,Non-covered Insurance Code,Table of codes specifying the reason a service is not covered.  No suggested values.,Non-coveredInsuranceCode,fm,N/A (0),IN2-24,,,2.16.840.1.113883.12.143,,,,,10,2.2,2.9,
0144,User,Eligibility Source,Table of codes which specify the source of information about the insured's eligibility for benefits.,EligibilitySource,fm,Example (1),IN2-27,,,2.16.840.1.113883.12.144,2.16.840.1.113883.18.65,http://terminology.hl7.org/CodeSystem/v2-0144,2.16.840.1.113883.21.77,http://terminology.hl7.org/ValueSet/v2-0144,10,2.2,2.9,1
0145,User,Room Type,Table of codes which specify the room type.,RoomType,fm,Example (1),RMC.1,,,2.16.840.1.113883.12.145,2.16.840.1.113883.18.66,http://terminology.hl7.org/CodeSystem/v2-0145,2.16.840.1.113883.21.78,http://terminology.hl7.org/ValueSet/v2-0145,10,2.1,2.9,1
0146,User,Amount Type,Table of codes which specify amount quantity type.,AmountType,fm,Example (1),RMC.2,,,2.16.840.1.113883.12.146,2.16.840.1.113883.18.67,http://terminology.hl7.org/CodeSystem/v2-0146,2.16.840.1.113883.21.79,http://terminology.hl7.org/ValueSet/v2-0146,10,2.2,2.9,1
0147,User,Policy Type,Table of codes which specify the policy type.,PolicyType,fm,Example (1),PTA.1,,,2.16.840.1.113883.12.147,2.16.840.1.113883.18.68,http://terminology.hl7.org/CodeSystem/v2-0147,2.16.840.1.113883.21.80,http://terminology.hl7.org/ValueSet/v2-0147,10,2.2,2.9,1
0148,HL7,Money or Percentage Indicator,HL7-defined table of codes which specify whether the amount is currency or a percentage.,MoneyOrPercentageIndicator,fm,Universal (3),MOP.1,,,2.16.840.1.113883.12.148,2.16.840.1.113883.18.69,http://terminology.hl7.org/CodeSystem/v2-0148,2.16.840.1.113883.21.81,http://terminology.hl7.org/ValueSet/v2-0148,10,2.2,2.9,1
0149,User,Day Type,"Table of codes which specify whether the days are denied, pending or approved.",DayType,fm,Example (1),DTN.1,,,2.16.840.1.113883.12.149,2.16.840.1.113883.18.70,http://terminology.hl7.org/CodeSystem/v2-0149,2.16.840.1.113883.21.82,http://terminology.hl7.org/ValueSet/v2-0149,10,2.2,2.9,1
0150,User,Certification Patient Type,Table of codes which specify the category or type of patient for which this certification is requested.,CertificationPatientType,fm,Example (1),ICD.1,,,2.16.840.1.113883.12.150,2.16.840.1.113883.18.71,http://terminology.hl7.org/CodeSystem/v2-0150,2.16.840.1.113883.21.83,http://terminology.hl7.org/ValueSet/v2-0150,10,2.2,2.9,1
0151,User,Second Opinion Status,Table of codes specifying the status of the second opinion.  No suggested values.,SecondOpinionStatus,fm,N/A (0),IN3-23,,,2.16.840.1.113883.12.151,,,,,10,2.2,2.9,
0152,User,Second Opinion Documentation Received,Table of codes specifying if accompanying documentation has been received by the provider.  No suggested values.,SecondOpinionDocumentationReceived,fm,N/A (0),IN3-24,,,2.16.840.1.113883.12.152,,,,,10,2.2,2.9,
0153,Externally defined,Value Code,"Note that information for the external code system on which this table is built (NUBC) is still pending from the FM Work Group.  In the US, code system 2.16.840.1.113883.6.301.6 nubc-ValueCode-cs may be used for values.",ValueCode,fm,N/A (0),UVC.1,,,2.16.840.1.113883.12.153,,,,,10,2.2,2.9,
0155,HL7,Accept/Application Acknowledgment Conditions,"HL7-defined table of codes which identify conditions under which accept acknowledgments are required to be returned in response to a message, and required for enhanced acknowledgment mode.",AcknowledgmentConditions,inm,Universal (3),"MSH-15, MSH-16",,,2.16.840.1.113883.12.155,2.16.840.1.113883.18.73,http://terminology.hl7.org/CodeSystem/v2-0155,2.16.840.1.113883.21.85,http://terminology.hl7.org/ValueSet/v2-0155,10,2.2,2.9,1
0156,HL7,Which date/time qualifier,HL7-defined table of codes that specify the type of date referred to in the other date fields in the QRF segment.,WhichDate_TimeQualifier,,Universal (3),,,,2.16.840.1.113883.12.156,2.16.840.1.113883.18.74,http://terminology.hl7.org/CodeSystem/v2-0156,2.16.840.1.113883.21.86,http://terminology.hl7.org/ValueSet/v2-0156,10,2.2,2.9,1
0157,HL7,Which date/time status qualifier,HL7-defined table of codes that specify the status type of objects selected in date range defined by QRF-2 and QRF-3.,WhichDate_TimeStatusQualifier,,Universal (3),,,,2.16.840.1.113883.12.157,2.16.840.1.113883.18.75,http://terminology.hl7.org/CodeSystem/v2-0157,2.16.840.1.113883.21.87,http://terminology.hl7.org/ValueSet/v2-0157,10,2.2,2.9,1
0158,HL7,Date/time selection qualifier,HL7-defined table of codes that allow the specification of certain types of values within the date/time range.,Date_TimeSelectionQualifier,,Universal (3),,,,2.16.840.1.113883.12.158,2.16.840.1.113883.18.76,http://terminology.hl7.org/CodeSystem/v2-0158,2.16.840.1.113883.21.88,http://terminology.hl7.org/ValueSet/v2-0158,10,2.2,2.9,1
0159,HL7,Diet Code Specification Type,HL7-defined table of codes which specify the type of diet.,DietCodeSpecificationType,oo,Universal (3),ODS-1,,,2.16.840.1.113883.12.159,2.16.840.1.113883.18.77,http://terminology.hl7.org/CodeSystem/v2-0159,2.16.840.1.113883.21.89,http://terminology.hl7.org/ValueSet/v2-0159,10,2.2,2.9,1
0160,HL7,Tray Type,HL7-defined table of codes which specify the type of dietary tray.,TrayType,oo,Universal (3),ODT-1,,,2.16.840.1.113883.12.160,2.16.840.1.113883.18.78,http://terminology.hl7.org/CodeSystem/v2-0160,2.16.840.1.113883.21.90,http://terminology.hl7.org/ValueSet/v2-0160,10,2.2,2.9,1
0161,HL7,Allow Substitution,"HL7-defined table of codes which specify whether substitutions are allowed and, if so, the type of substitutions allowed.",AllowSubstitution,oo,Universal (3),RXO-9,,,2.16.840.1.113883.12.161,2.16.840.1.113883.18.79,http://terminology.hl7.org/CodeSystem/v2-0161,2.16.840.1.113883.21.91,http://terminology.hl7.org/ValueSet/v2-0161,10,2.2,2.9,1
0162,User,Route of Administration,Table of codes which specify the route of administration.,V2RouteOfAdministration,oo,Representative (2),RXR-1,,,2.16.840.1.113883.12.162,2.16.840.1.113883.18.80,http://terminology.hl7.org/CodeSystem/v2-0162,2.16.840.1.113883.21.92,http://terminology.hl7.org/ValueSet/v2-0162,10,2.2,2.9,1
0163,HL7,Body Site,HL7-defined table of codes that specify a body site from which a specimen is obtained.,BodySite,oo,Universal (3),"OBX-20, CH7",,,2.16.840.1.113883.12.163,2.16.840.1.113883.18.81,http://terminology.hl7.org/CodeSystem/v2-0163,2.16.840.1.113883.21.93,http://terminology.hl7.org/ValueSet/v2-0163,10,2.2,2.9,1
0164,User,Administration Device,Table of codes which specify the mechanical device used to aid in the administration of the drug or other treatment.  Common examples are IV-sets of different types.,AdministrationDevice,oo,Representative (2),RXR-3,,,2.16.840.1.113883.12.164,2.16.840.1.113883.18.82,http://terminology.hl7.org/CodeSystem/v2-0164,2.16.840.1.113883.21.94,http://terminology.hl7.org/ValueSet/v2-0164,10,2.2,2.9,1
0165,User,Administration Method,Table of codes which specify the specific method requested for the administration of the drug or treatment to the patient.,AdministrationMethod,oo,Representative (2),RXR-4,,,2.16.840.1.113883.12.165,2.16.840.1.113883.18.83,http://terminology.hl7.org/CodeSystem/v2-0165,2.16.840.1.113883.21.95,http://terminology.hl7.org/ValueSet/v2-0165,10,2.2,2.9,1
0166,HL7,RX Component Type,HL7-defined table of codes which specify the RX component type.,RxComponentType,oo,Universal (3),RXC-1,,,2.16.840.1.113883.12.166,2.16.840.1.113883.18.84,http://terminology.hl7.org/CodeSystem/v2-0166,2.16.840.1.113883.21.96,http://terminology.hl7.org/ValueSet/v2-0166,10,2.2,2.9,1
0167,HL7,Substitution Status,HL7-defined table of codes which specify the substitution status.,SubstitutionStatus,oo,Universal (3),"RXE-9, RXD-11, RXG-10",,,2.16.840.1.113883.12.167,2.16.840.1.113883.18.85,http://terminology.hl7.org/CodeSystem/v2-0167,2.16.840.1.113883.21.97,http://terminology.hl7.org/ValueSet/v2-0167,10,2.2,2.9,1
0168,HL7,Processing Priority,HL7-defined table of codes which specify one or more available priorities for performing the observation or test.,ProcessingPriority,inm,Universal (3),OM1-25,,,2.16.840.1.113883.12.168,2.16.840.1.113883.18.86,http://terminology.hl7.org/CodeSystem/v2-0168,2.16.840.1.113883.21.98,http://terminology.hl7.org/ValueSet/v2-0168,10,2.2,2.9,1
