"Issue Type","Key","Status","Resolution","Summary","Reporter","Created","Updated","Priority","Assignee","Parent key","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments"
"Change Request","UP-303","Environment Setup","","Add X to V3 administativeGender","Stefan.Sabutsch","2022-04-02 08:58","2022-04-02 08:58","Medium","Stefan.Sabutsch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-302","Queued for Next Implementation","","Remove Hanging Backslash from RadLex URL","jsnell","2022-03-31 10:16","2022-05-02 10:32","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=94657850","","","","","","","","","","","","","","","","","","","","","","","2022-04-21 07:09;reuben.daniels;Discussed on 21-April-2022 HTA call and approved.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-300","Proposal Draft","","Remove loose closing parenthesis after ""mobile contact""","edelman","2022-03-21 01:48","2022-04-19 07:30","Medium","edelman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-299","Queued for Next Implementation","","Add OperationOutcome code for failed external references","marc.duteau","2022-03-21 12:09","2022-07-27 07:54","Medium","alexanderzautke","","https://confluence.hl7.org/pages/viewpage.action?pageId=104764963","https://confluence.hl7.org/pages/viewpage.action?pageId=131042177","https://confluence.hl7.org/pages/viewpage.action?pageId=134940202","","","","","","","","","","","","","","","","","","","","","2022-05-31 02:39;jsnell;UTG/THO subcommittee reviewed this ticket on 5/31/22. 

[~marc.duteau] to follow up with [~alexanderzautke] about alphabetizing the newly added concept. ","2022-05-31 02:40;LisaRNelson;Lisa Nelson intends to vote affirmative on the issue once the step to add the concept in alphabetical order within the code system.","2022-06-07 02:33;alexanderzautke;[~jsnell] [~marc.duteau] Thanks for the remark. The PR has been updated accordingly.","2022-06-14 02:27;jsnell;UTG/THO subcommittee reviewed the ticket on 6/14/22. We noted an issue with the version not being updated, but Marc has committed the version fix to update it to 2.0.0. ","2022-06-14 02:30;LisaRNelson;[~Brett.Marquard] please vote to affirm this issue.  I watched as it was resolved and can vouch for the validity of the resolution.","2022-06-14 02:31;jsnell;This ticket has passed quorum but needs additional votes to proceed. Tagging some folks who may be interested in moving this proposal along. It was related to a FHIR-I ticket: https://jira.hl7.org/browse/FHIR-19977 

[~GrahameGrieve] [~jmandel] [~alexanderzautke] (you can vote too) [~lloyd] [~kennethmyhra] ","2022-07-12 02:50;jsnell;This ticket has passed quorum but needs additional votes to proceed. Tagging some folks who may be interested in moving this proposal along. It was related to a FHIR-I ticket: https://jira.hl7.org/browse/FHIR-19977 

[~GrahameGrieve] [~jmandel] [~alexanderzautke] (you can vote too)  [~kennethmyhra] ","2022-07-27 07:49;jsnell;[~alexanderzautke] , please inform me if this change is critical to get into a published release of terminology.hl7.org (THO) prior to the ballot content deadline. If not critical, it should still be published around the time of the September WGM. Thank you!","2022-07-27 07:54;alexanderzautke;[~jsnell] No, it's not critical. Thanks for checking.","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-297","Environment Setup","","In Table 0203 Explain the difference between SS and SB","richardt","2022-03-20 11:43","2022-07-29 07:58","Medium","richardt","","https://confluence.hl7.org/pages/viewpage.action?pageId=134943835","","","","","","","","","","","","","","","","","","","","","","","2022-07-29 07:48;RikiM;V2 Management suggest encapsulating Lloyd's answer: Gist is that SB is a generic - it encompasses U.S. Social Security Number, Canadian Social Insurance Number and all sorts of other national (and sometimes regional) identifiers for this purpose.  SS shouldn't really exist as it's not an identifier ""type"" but actually refers to a specific namespace.  However, it's been used in the US for decades, so we can't exactly make it go away.  In FHIR, if you're sending a US SSN, the Identifier.type is expected to be ""SB"".

INM is the steward, so need to find a volunteer to update it.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-296","Environment Setup","","External Terminology Page Not Useful for Navigation","Mark_Kramer","2022-03-14 09:04","2022-03-14 09:04","Medium","Mark_Kramer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-295","Queued for Next Implementation","","Add ClinVar Variation ID per HTA","jsnell","2022-03-11 10:38","2022-05-24 02:04","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=94657850","","","","","","","","","","","","","","","","","","","","","","","2022-03-15 11:59;marc.duteau;The name element has to start with an uppercase letter.  I can fix this myself but I won't have time until this evening at the earliest.","2022-03-21 10:42;jsnell;[~marc.duteau], fixed. 

I capitalized it across all areas (file names for the cs and ns, id, and name elements) and modified the manifests to match the new ids. ","2022-04-21 07:21;reuben.daniels;Discussed on 21-April-2022 HTA call and approved.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-294","Withdrawn","Won't Do","V2 table 0078 missing from HL7 Terminology code systems","diana_ovelgoenne","2022-03-07 06:51","2022-07-26 11:30","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","2022-03-08 06:01;tedhl7geek;Table 0078 was removed from the H7 v2 publications some 3-4 years ago; it was merged with and replaced by a single code system published in V3 for many years containing the same concepts.   This can be found at [http://build.fhir.org/ig/HL7/UTG/CodeSystem-v3-ObservationInterpretation.html].  The Orders and Observations WorkGroup worked diligently to unify these duplicative code systems for several years; Table 0078 as a defined code system will NOT be added to THO; the table content is informed by the v3 code system using the value set at [http://build.fhir.org/ig/HL7/UTG/ValueSet-v2-0078.html] (the published release of this is at  [https://terminology.hl7.org/3.1.0/ValueSet-v2-0078.html])","2022-03-08 09:48;rhausam;As Ted said, OO made a significant effort over a period of several years to achieve harmonization on this code system across the HL7 standards families, and the ObservationInterpretation code system in THO as noted above is the result.  The code system page lists these value sets for this:

[http://hl7.org/fhir/R4/valueset-observation-interpretation.html]

[http://build.fhir.org/ig/HL7/UTG/ValueSet-v2-0078.html]

[http://build.fhir.org/ig/HL7/UTG/ValueSet-v3-ObservationInterpretation.html]

All three value sets are defined as:
 * Include all codes defined in [{{http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation}}|http://build.fhir.org/ig/HL7/UTG/CodeSystem-v3-ObservationInterpretation.html]

So you should be able to use the value set that is most appropriate for what you are doing.","2022-05-10 04:10;diana_ovelgoenne;Agree with the comments from Ted and Robert and the issue can be closed","2022-07-26 11:30;jsnell;Withdrawing based on agreement from the Reporter that this ticket can be closed. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-293","Change Not Needed","","Add OperationOutcome code for failed external references","alexanderzautke","2022-02-28 02:10","2022-03-31 02:32","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","2022-03-21 11:47;marc.duteau;History of voting during previous consensus-review cycle: 

Vote Casters: 
Required Votes: 
Positive Votes:  
Negative Votes: 
Total Votes Cast: 
Super Vote Weight: 
OSG Vote Weight: 
Super Voters: 
OSG Voters: AMS, ahenket, Austin_Kreisler, Brett.Marquard, Brian_Pech, carmela_couderc, cmacumber, FrankOemig, GrahameGrieve, HeatherGrain, jduteau, Josh, Julie, LisaRNelson, pknapp, reuben.daniels, rgeimer, rhausam, rsnelick, Rob_McClure, Rongparker, Sandystu1, sylvia_thun
OSGVoter Family Requirement Met: 
OSGVoter International Requirement Met: 
OSGVoter Requirement Met: 
OSGVoter Vocabulary Requirement Met: 
Positve Voters: Marc Duteau
Negative Voters: ","2022-03-28 08:59;marc.duteau;Closed the ticket due to the new version being created. (thought I'd done this already but obviously it didn't stick...)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-291","Proposal Implemented","Done","Add Medication Reference Terminology (MED-RT) per HTA","jsnell","2022-02-16 05:50","2022-05-02 10:23","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=90351854","","","","","","","","","","","","","","","","","","","","","","","2022-02-16 01:30;daverag;[Approved for use by TSMG 16Feb22|https://confluence.hl7.org/pages/resumedraft.action?draftId=90351858&draftShareId=54c06dbe-f355-4894-a103-0da2cdd814af&]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-290","Environment Setup","","Update CodeSystem containing HL7 WGs with latest status","dvreeman","2022-02-16 04:28","2022-02-16 04:28","Medium","dvreeman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-289","QC Review","","Adding using external code systems with FHIR to THO","reuben.daniels","2022-02-15 02:07","2022-08-29 03:53","Medium","reuben.daniels","","","","","","","","","","","","","","","","","","","","","","","","","2022-02-16 02:07;reuben.daniels;TSMG voted to transfer Using External Code System with FHIR from the core FHIR specification to THO.","2022-08-23 03:09;reuben.daniels;Note TSMG (including HTA subcommittee) vote in the following minutes:

[https://confluence.hl7.org/display/TSMG/2022-08-15+TSMG+Agenda+and+Minutes|https://confluence.hl7.org/display/TSMG/2022-08-15+TSMG+Agenda+and+Minutes]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-288","Withdrawn","Duplicate","Need an identifier for EIN","bryn.rhodes","2022-02-10 12:45","2022-06-16 09:30","Medium","bryn.rhodes","","https://confluence.hl7.org/pages/viewpage.action?pageId=90345461","","","","","","","","","","","","","","","","","","","","","","","2022-06-14 11:47;jsnell;[~bryn.rhodes] this has been addressed by UP-330 by the HTA. The changes have been submitted and should be in the CI build within the next couple of weeks. 

If satisfied with this resolution, please go ahead and Withdraw this ticket. You will need to move it to the Proposal Draft state before you can withdraw the ticket. Thanks!","2022-06-16 09:29;bryn.rhodes;Agreed, addressed by the other ticket, I will withdraw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-287","Environment Setup","","Add pharma, rxmail, provider, virtual to contactentity-type","jdjkelly","2022-02-08 12:21","2022-02-08 12:27","Medium","jdjkelly","","","","","","","","","","","","","","","","","","","","","","","","","2022-02-08 12:22;jdjkelly;Hey, we have a need add a few tickets similar to this one. Please let us know if there is feedback on formatting before we proceed.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
