Ch2c Table,Ch2c Concept Domain Info - Name,Ch2c Concept Domain Info - Symbolic Name,Ch2c Concept Domain Info - Description,Ch2c Concept Domain Info - Cd Only,Ch2c Cs Info - Oid,Ch2c Cs Info - Symbolic Name,Ch2c Cs Info - Description,Ch2c Cs Info - Full Name,Ch2c Cs Info - Utg Url,Ch2c Cs Info - Utg Name,Ch2c Cs Info - Table Oid,Ch2c Cs Info - Version Info,Ch2c Cs Info - Web Url,Ch2c Cs Info - Comments,Ch2c Cs Version Info - Effective Date,Ch2c Cs Version Info - Version,Ch2c Cs Version Info - Version Introduced,Ch2c Vs Version Info - Oid,Ch2c Vs Version Info - Symbolic Name,Ch2c Vs Version Info - Description,Ch2c Vs Version Info - Full Name,Ch2c Vs Version Info - Utg Url,Ch2c Vs Version Info - Cld,Ch2c Vs Version Info - Web Url,Ch2c Vs Version Info - Utg Name,Ch2c Vs Version Info - Utg Title,Ch2c Vs Version Info - Comments,Ch2c Binding Info - Realm,Ch2c Metadata - Table,Ch2c Metadata - Table Oid,Ch2c Metadata - Symbolic Name,Ch2c Metadata - Description,Ch2c Metadata - Type,Ch2c Metadata - Steward,Ch2c Metadata - Where Used,Ch2c Metadata - Version Introduced,Ch2c Metadata - Full Name,Ch2c Metadata - Utg Url
0080 -- Nature of Abnormal Testing,DOM: 80,NatureOfAbnormalTesting,"The domain of possible values for the nature of an abnormal
test.",false,2.16.840.1.113883.18.32,natureOfAbnormalTesting,"HL7-defined code system of concepts specifying the nature of an
abnormal test. Used in HL7 Version 2.x messaging in the OBX
segment.",Nature of Abnormal Testing Code System,http://terminology.hl7.org/CodeSystem/v2-0080,,,,,,31.12.1992,2,2.1,2.16.840.1.113883.21.36,hl7VS-natureOfAbnormalTesting,Value Set of codes that specify the nature of an abnormal test.,Nature of Abnormal Testing Value Set,http://terminology.hl7.org/ValueSet/v2-0080,all codes,,,,,universal,0080,2.16.840.1.113883.12.80,Nature of Abnormal Testing,"HL7-defined table of codes specifying the nature of an abnormal
test.",HL7,OO,OBX-10,2.1,,
0083 -- Outlier Type,DOM: 83,OutlierType,"The domain of possible values for the type of outlier (i.e. period
of care beyond DRG-standard stay in facility) that has been paid.",false,2.16.840.1.113883.18.33,outlierType,"HL7-defined code system of concepts specifying the type of outlier
(i.e. period of care beyond DRG-standard stay in facility) that has been
paid. Used in HL7 Vesrion 2.x messaghing in the DRG segment.",Outlier Type Code System,http://terminology.hl7.org/CodeSystem/v2-0083,v2 Outlier Type,,,,,17.05.1999,1,2.3.1,2.16.840.1.113883.21.37,hl7VS-outlierType,"Value Set of codes that specify the type of outlier (i.e. period of
care beyond DRG-standard stay in facility) that has been paid.",Outlier Type Value Set,http://terminology.hl7.org/ValueSet/v2-0083,all codes,,v2.0083,v2 Outlier Type,,representative,0083,2.16.840.1.113883.12.83,Outlier Type,"Table of codes specifying the type of outlier (i.e. period of care
beyond DRG-standard stay in facility) that has been paid.",User,PA,DRG-5,2.1,,
0084 -- Performed by,DOM: 84,PerformedBy,"The domain of possible values for a composite number/name of a
person/group that performed a test/procedure/transaction, etc.",true,,,,,,,,,,,,,,,,,,,,,,,,,0084,2.16.840.1.113883.12.84,Performed by,"Table of codes specifying a composite number/name of a person/group
that performed a test/procedure/transaction, etc. No suggested
values.",User,FM,FT1-20,2.1,,
0085 -- Observation Result Status Codes Interpretation,DOM: 85,ObservationResultStatusCodesInterpretation,"The domain of possible values for observation result status. These
codes reflect the current completion status of the results for one
Observation Identifier.",false,2.16.840.1.113883.18.34,observationResultStatusCodesInterpretation,"HL7-defined code system of concepts which specify observation result
status. These codes reflect the current completion status of the results
for one Observation Identifier. Used in HL7 Version 2.x messaging in the
OBX segment.",Observation Result Status Codes Interpretation Code System,http://terminology.hl7.org/CodeSystem/v2-0085,,,,,,31.12.1992,5,2.1,2.16.840.1.113883.21.38,hl7VS-observationResultStatus,"Concepts which specify observation result status. These codes
reflect the current completion status of the results for one Observation
Identifier.",Observation Result Status Codes Interpretation Value Set,http://terminology.hl7.org/ValueSet/v2-0085,all codes,,,,,universal,0085,2.16.840.1.113883.12.85,Observation Result Status Codes Interpretation,"HL7-defined table of codes which specify observation result status.
These codes reflect the current completion status of the results for one
Observation Identifier.",HL7,OO,OBX-11,2.1,,
0086 -- Plan ID,DOM: 86,PlanId,"The domain of possible values for the coding structure that
identifies the various plan types (i.e., Medicare, Medicaid, Blue Cross,
HMO, etc.).",true,,,,,,,,,,,,,,,,,,,,,,,,,0086,2.16.840.1.113883.12.86,Plan ID,"Table of codes specifying the coding structure that identifies the
various plan types (i.e., Medicare, Medicaid, Blue Cross, HMO, etc.). No
suggested values.",User,OO,IN1-15,2.1,,
0087 -- Pre-Admit Test Indicator,DOM: 87,Pre-admitTestIndicator,"The domain of possible values for whether the patient must have
pre-admission testing done in order to be admitted.",true,,,,,,,,,,,,,,,,,,,,,,,,,0087,2.16.840.1.113883.12.87,Pre-Admit Test Indicator,"Table of codes specifying whether the patient must have
pre-admission testing done in order to be admitted. No suggested
values.",User,PA,PV1-13,2.1,,
0088 -- Procedure Code,DOM: 88,ProcedureCode,"The domain of possible values for a unique identifier assigned to a
procedure, if any, associated with a charge.",true,,,,,,,,,,,,,,,,,,,,,,,,,0088,2.16.840.1.113883.12.88,Procedure Code,"Table of codes specifying a unique identifier assigned to a
procedure, if any, associated with a charge.",User,FM,"FT1-25, OBR-44, CDM-7, FT1-25",2.1,,
0091 -- Query Priority,DOM: 91,V2QueryPriority,"The domain of possible values for a time frame in which a querry
response is expected.",false,2.16.840.1.113883.18.35,queryPriority,"HL7-defined code system of concepts which specify a time frame in
which a querry response is expected. Used in HL7 Verson 2.x messaging in
the RCP segment.",Query Priority Code System,http://terminology.hl7.org/CodeSystem/v2-0091,,,,,,31.12.1992,1,2.1,2.16.840.1.113883.21.39,hl7VS-queryPriority,"Concepts which specify a time frame in which a querry response is
expected.",Query Priority Value Set,http://terminology.hl7.org/ValueSet/v2-0091,all codes,,,,,universal,0091,2.16.840.1.113883.12.91,Query Priority,"HL7-defined table of codes which specify a time frame in which a
querry response is expected.",HL7,InM,RCP.1,2.1,,
0092 -- Re-Admission Indicator,DOM: 92,Re-admissionIndicator,"The domain of possible values which are used to specify that a
patient is being re-admitted to a healthcare facility from which they
were discharged, and indicates the circumstances around such
re-admission.",false,2.16.840.1.113883.18.36,re-admissionIndicator,"Code system of concepts which are used to specify that a patient is
being re admitted to a healthcare facilityin from which they were
discharged, and indicates the circumstances around such re-admission.
Used in HL7 Version 2.x messagine in the PV1 segment.",Re-Admission Indicator Code System,http://terminology.hl7.org/CodeSystem/v2-0092,,,,,,31.12.1992,1,2.1,2.16.840.1.113883.21.40,hl7VS-re-admissionIndicator,"Value Set of codes which are used to specify that a patient is being
re-admitted to a healthcare facility from which they were discharged,
and indicates the circumstances around such re-admission.",Re-Admission Indicator Value Set,http://terminology.hl7.org/ValueSet/v2-0092,all codes,,,,,representative,0092,2.16.840.1.113883.12.92,Re-Admission Indicator,"Table of codes which are used to specify that a patient is being
re-admitted to a healthcare facility from which they were discharged,
and indicates the circumstances around such re-admission.",User,,,2.1,,
0093 -- Release Information,DOM: 93,ReleaseInformation,"The domain of possible values for whether the healthcare provider
can release information about a patient and what information can be
released.",true,,,,,,,,,,,,,,,,,,,,,,,,,0093,2.16.840.1.113883.12.93,Release Information,"Table of codes specifying whether the healthcare provider can
release information about a patient and what information can be
released.",User,FM,IN1-27,2.1,,
0098 -- Type of Agreement,DOM: 98,TypeOfAgreement,"The domain of possible values for codes to further identify an
insurance plan.",false,2.16.840.1.113883.18.37,typeOfAgreement,"Code system of concepts which specify codes to further identify an
insurance plan. Used in HL7 Version 2.x messaging in the IN1
segment.",Type of Agreement Code System,http://terminology.hl7.org/CodeSystem/v2-0098,,,,,,07.04.1997,1,2.3,2.16.840.1.113883.21.41,hl7VS-typeOfAgreement,"Concepts which specify codes to further identify an insurance
plan.",Type of Agreement Value Set,http://terminology.hl7.org/ValueSet/v2-0098,all codes,,,,,example,0098,2.16.840.1.113883.12.98,Type of Agreement,"Table of codes which specify codes to further identify an insurance
plan.",User,FM,IN1-31,2.1,,
0099 -- VIP Indicator,DOM: 99,VipIndicator,The domain of possible values for a type of VIP.,true,,,,,,,,,,,,,,,,,,,,,,,,,0099,2.16.840.1.113883.12.99,VIP Indicator,Table of codes specifying a type of VIP. No suggested values.,User,PA,PV1-16,2.1,,
0100 -- Invocation event,DOM: 100,InvocationEvent,"The domain of possible values for codes for an event
precipitating/triggering a charge activity.",false,2.16.840.1.113883.18.38,invocationEvent,"HL7-defined code system of concepts which specify codes for an event
precipitating/triggering a charge activity. Used in HL7 Version 2.x
messaging in the CCD and BLG segments.",Invocation event Code System,http://terminology.hl7.org/CodeSystem/v2-0100,,,,,,31.12.1992,1,2.1,2.16.840.1.113883.21.42,hl7VS-whenToCharge,"Value Set of codes that specify codes for an event
precipitating/triggering a charge activity.",Invocation event Value Set,http://terminology.hl7.org/ValueSet/v2-0100,all codes,,,,,universal,0100,2.16.840.1.113883.12.100,Invocation event,"HL7-defined table of codes which specify codes for an event
precipitating/triggering a charge activity.",HL7,InM,"CCD.1, BLG-1",2.1,,
0103 -- Processing ID,DOM: 103,ProcessingId,"The domain of possible values for whether the message is part of a
production, training or debugging system.",false,2.16.840.1.113883.18.40,processingId,"HL7-defined code system of concepts which specify whether the
message is part of a production, training or debugging system. Used in
HL7 Version 2.x messaging in the PT datatype.",Processing ID Code System,http://terminology.hl7.org/CodeSystem/v2-0103,,,,,,31.12.1992,2,2.1,2.16.840.1.113883.21.44,hl7VS-processingId,"Value Set of codes that specify whether the message is part of a
production, training or debugging system.",Processing ID Value Set,http://terminology.hl7.org/ValueSet/v2-0103,all codes,,,,,universal,0103,2.16.840.1.113883.12.103,Processing ID,"HL7-defined table of codes which specify whether the message is part
of a production, training or debugging system.",HL7,InM,PT.1,2.1,,
0104 -- Version ID,DOM: 104,VersionId,"The domain of possible values which are used to identify an HL7
version in the Version 2.x family of published standards.",false,2.16.840.1.113883.18.41,versionId,"HL7-defined code system of concepts which are used to identify an
HL7 version in the Version 2.x family of published standards. Used in
HL7 Version 2.x messaging in the VID segment.",Version ID Code System,http://terminology.hl7.org/CodeSystem/v2-0104,,,,,,31.12.1992,12,2.1,2.16.840.1.113883.21.45,hl7VS-versionControlTable,"Concepts which are used to identify an HL7 version in the Version
2.x family of published standards.",Version ID Value Set,http://terminology.hl7.org/ValueSet/v2-0104,all codes,,,,,universal,0104,2.16.840.1.113883.12.104,Version ID,"HL7-defined table of codes which are used to identify an HL7 version
in the Version 2.x family of published standards.",HL7,InM,VID.1,2.1,,
0105 -- Source of Comment,DOM: 105,SourceOfComment,"The domain of possible values which are used to specify the source
of a comment.",false,2.16.840.1.113883.18.42,sourceOfComment,"HL7-defined code system of concepts which are used to specify the
source of a comment. Used in HL7 Version 2.x messaging in the NTE
segment.",Source of Comment Code System,http://terminology.hl7.org/CodeSystem/v2-0105,,,,,,31.12.1992,2,2.1,2.16.840.1.113883.21.46,hl7VS-sourceOfComment,"Concepts which are used to specify the source of a comment, as used
in HL7 Version 2.x messaging in the NTE segment.",Source of Comment Value Set,http://terminology.hl7.org/ValueSet/v2-0105,all codes,,,,,universal,0105,2.16.840.1.113883.12.105,Source of Comment,"HL7-defined table of codes which are used to specify the source of a
comment.",HL7,InM,NTE-2,2.1,,
0110 -- Transfer to Bad Debt Code,DOM: 110,TransferToBadDebtCode,"The domain of possible values for that the account was transferred
to bad debts and gives the reason. No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0110,2.16.840.1.113883.12.110,Transfer to Bad Debt Code,"Table of codes specifying that the account was transferred to bad
debts and gives the reason. No suggested values.",User,PA,PV1-29,2.1,,
0111 -- Delete Account Code,DOM: 111,DeleteAccountCode,"The domain of possible values for that the account was deleted from
the file and gives the reason. No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0111,2.16.840.1.113883.12.111,Delete Account Code,"Table of codes specifying that the account was deleted from the file
and gives the reason. No suggested values.",User,PA,PV1-34,2.1,,
0112 -- Discharge Disposition,DOM: 112,DischargeDisposition,"The domain of possible values for the disposition of the patient at
time of discharge (i.e., discharged to home, expired, etc.). No
suggested values. In the US, this field should use the Official Uniform
Billing (UB) 04 2008 numeric codes found on form locator 17.",true,,,,,,,,,,,,,,,,,,,,,,,,,0112,2.16.840.1.113883.12.112,Discharge Disposition,"Table of codes which specify the disposition of the patient at time
of discharge (i.e., discharged to home, expired, etc.). No suggested
values. In the US, this field should use the Official Uniform Billing
(UB) 04 2008 numeric codes found on form locator 17.",User,PA,PV1-36,2.1,,
0113 -- Discharged to Location,DOM: 113,DischargedToLocation,"The domain of possible values for the healthcare facility to which
the patient was discharged. No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0113,2.16.840.1.113883.12.113,Discharged to Location,"Table of codes specifying the healthcare facility to which the
patient was discharged. No suggested values.",User,InM/PA,DLD.1. PV1-37,2.1,,
0114 -- Diet Type,DOM: 114,DietType,"The domain of possible values for a special diet type for a patient.
No suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0114,2.16.840.1.113883.12.114,Diet Type,"Table of codes specifying a special diet type for a patient. No
suggested values.",User,InM/PA,DLD.1. PV1-38,2.1,,
0115 -- Servicing Facilities,DOM: 115,ServicingFacilities,"The domain of possible values for the healthcare facility with which
this visit is associated in a multiple facility environment. No
suggested values.",true,,,,,,,,,,,,,,,,,,,,,,,,,0115,2.16.840.1.113883.12.115,Servicing Facilities,"Table of codes specifying the healthcare facility with which this
visit is associated in a multiple facility environment. No suggested
values.",User,InM/PA,DLD.1. PV1-39,2.1,,
0116 -- Bed Status,DOM: 116,BedStatus,"The domain of possible values for the state of a bed in an inpatient
setting, and is used to determine if a patient may be assigned to it or
not.",false,2.16.840.1.113883.18.47,bedStatus,"Code system of concepts which specify the state of a bed in an
inpatient setting, and is used to determine if a patient may be assigned
to it or not. Used in HL7 Version 2.x messaging in the DLD and PV1
segments.",Bed Status Code System,http://terminology.hl7.org/CodeSystem/v2-0116,,,,,,31.12.1992,2,2.1,2.16.840.1.113883.21.51,hl7VS-bedStatus,"Value Set of codes that specify the state of a bed in an inpatient
setting, and is used to determine if a patient may be assigned to it or
not.",Bed Status Value Set,http://terminology.hl7.org/ValueSet/v2-0116,all codes,,,,,example,0116,2.16.840.1.113883.12.116,Bed Status,"Table of codes which specify the state of a bed in an inpatient
setting, and is used to determine if a patient may be assigned to it or
not.",User,InM/PA,DLD.1. PV1-40,2.1,,
